timestamp_jst,pv_kwh,load_kwh,sell_kwh,buy_kwh,charge_kwh,discharge_kwh,soc_percent
2026-08-29 23:00,0.000,0.789,0.000,0.788,0.000,0.001,0
2026-08-29 23:30,0.000,0.800,0.000,0.800,0.000,0.000,0
2026-08-30 00:00,0.000,0.759,0.000,0.759,0.000,0.000,0
2026-08-30 00:30,0.000,0.753,0.000,0.753,0.000,0.000,0
2026-08-30 01:00,0.000,0.692,0.000,0.692,0.000,0.000,0
2026-08-30 01:30,0.000,0.670,0.000,0.670,0.000,0.000,0
2026-08-30 02:00,0.000,0.511,0.000,0.580,0.069,0.000,0
2026-08-30 02:30,0.000,0.479,0.000,0.491,0.012,0.000,0
2026-08-30 03:00,0.000,0.535,0.000,2.058,1.523,0.000,15
2026-08-30 03:30,0.000,0.499,0.000,2.390,1.891,0.000,34
2026-08-30 04:00,0.000,0.485,0.000,2.392,1.907,0.000,54
2026-08-30 04:30,0.000,0.540,0.000,1.767,1.228,0.001,68
2026-08-30 05:00,0.001,0.529,0.000,1.081,0.553,0.000,76
2026-08-30 05:30,0.017,0.488,0.000,0.471,0.000,0.000,76
2026-08-30 06:00,0.024,0.516,0.000,0.492,0.000,0.000,76
2026-08-30 06:30,0.060,0.534,0.000,0.474,0.000,0.000,76
2026-08-30 07:00,0.223,0.438,0.000,0.080,0.003,0.138,75
2026-08-30 07:30,0.322,0.433,0.000,0.038,0.039,0.112,73
