date,time,soc_percent,pv_kwh,load_kwh,buy_kwh,sell_kwh,charge_kwh,discharge_kwh
2026-08-31,00:00,0,0,0.846,0.846,0,0,0
2026-08-31,00:30,0,0,0.851,0.851,0,0,0
2026-08-31,01:00,0,0,1.051,1.051,0,0,0
2026-08-31,01:30,1,0,1.040,1.095,0,0.055,0
2026-08-31,02:00,2,0,0.779,0.846,0,0.067,0
2026-08-31,02:30,2,0,0.748,0.748,0,0,0
2026-08-31,03:00,14,0,0.893,2.120,0,1.227,0
2026-08-31,03:30,32,0,0.659,2.393,0,1.734,0
2026-08-31,04:00,50,0,0.639,2.393,0,1.754,0
2026-08-31,04:30,68,0,0.599,2.389,0,1.790,0
2026-08-31,05:00,85,0.002,0.807,2.371,0,1.566,0
2026-08-31,05:30,93,0.021,0.644,1.109,0,0.486,0
2026-08-31,06:00,93,0.047,0.640,0.593,0,0,0
2026-08-31,06:30,93,0.057,0.719,0.662,0,0,0
2026-08-31,07:00,86,0.088,0.925,0.139,0,0,0.698
