timestamp_jst,soc_percent,charge_kwh,discharge_kwh,pv_kwh,buy_kwh,load_kwh
2026-09-01 23:00,1,0.032,0.000,0.000,1.502,1.470
2026-09-01 23:30,1,0.000,0.000,0.000,1.403,1.403
2026-09-02 00:00,1,0.000,0.000,0.000,1.391,1.391
2026-09-02 00:30,1,0.000,0.000,0.000,1.106,1.106
2026-09-02 01:00,1,0.000,0.000,0.000,1.008,1.008
2026-09-02 01:30,1,0.000,0.000,0.000,1.026,1.026
2026-09-02 02:00,1,0.000,0.000,0.000,0.939,0.939
2026-09-02 02:30,1,0.000,0.000,0.000,0.945,0.945
2026-09-02 03:00,1,0.000,0.000,0.000,0.932,0.932
2026-09-02 03:30,1,0.000,0.000,0.000,0.877,0.877
2026-09-02 04:00,1,0.000,0.000,0.000,0.769,0.769
2026-09-02 04:30,1,0.000,0.000,0.000,0.733,0.733
2026-09-02 05:00,1,0.000,0.000,0.001,0.672,0.673
2026-09-02 05:30,1,0.000,0.000,0.029,0.673,0.702
2026-09-02 06:00,1,0.000,0.000,0.079,0.610,0.689
2026-09-02 06:30,1,0.000,0.000,0.052,0.728,0.780
2026-09-02 07:00,0,0.000,0.013,0.115,0.658,0.786
2026-09-02 07:30,0,0.000,0.000,0.275,0.440,0.715
2026-09-02 08:00,0,0.000,0.000,0.141,0.646,0.787
